epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_map_eval,val_auc,val_f1,val_loss,val_map
0,9,,,0.5915932059288025,,,,,,
0,19,,,0.5647404789924622,,,,,,
0,29,,,0.5419228672981262,,,,,,
0,39,,,0.5158063173294067,,,,,,
0,49,,,0.4928334951400757,,,,,,
0,57,,,,,,0.5141583681106567,0.006506860256195068,0.45126163959503174,0.022761719301342964
0,57,0.4961748421192169,0.018544653430581093,,0.5364845991134644,0.016136325895786285,,,,
1,59,,,0.46452972292900085,,,,,,
1,69,,,0.44205915927886963,,,,,,
1,79,,,0.42539605498313904,,,,,,
1,89,,,0.4013212025165558,,,,,,
1,99,,,0.3878988027572632,,,,,,
1,109,,,0.37128427624702454,,,,,,
1,115,,,,,,0.5172217488288879,0.0008587254560552537,0.3430992662906647,0.025854043662548065
1,115,0.49477165937423706,0.010575413703918457,,0.40867868065834045,0.016072560101747513,,,,
2,119,,,0.3568827509880066,,,,,,
2,129,,,0.3345501720905304,,,,,,
2,139,,,0.32495415210723877,,,,,,
2,149,,,0.3059786558151245,,,,,,
2,159,,,0.2907998561859131,,,,,,
2,169,,,0.28151750564575195,,,,,,
2,173,,,,,,0.5183847546577454,0.0,0.2633630335330963,0.02586411125957966
2,173,0.4991188049316406,0.0056053632870316505,,0.31247857213020325,0.01608346402645111,,,,
3,179,,,0.26242318749427795,,,,,,
3,189,,,0.2545415759086609,,,,,,
3,199,,,0.24168430268764496,,,,,,
3,209,,,0.2389323115348816,,,,,,
3,219,,,0.2248787134885788,,,,,,
3,229,,,0.22071442008018494,,,,,,
3,231,,,,,,0.5212767124176025,0.0,0.20755261182785034,0.026380127295851707
3,231,0.4993498623371124,0.0015949754742905498,,0.24315159022808075,0.015920912846922874,,,,
4,239,,,0.212479829788208,,,,,,
4,249,,,0.20407134294509888,,,,,,
4,259,,,0.19832810759544373,,,,,,
4,269,,,0.19086916744709015,,,,,,
4,279,,,0.18235835433006287,,,,,,
4,289,,,0.17438904941082,,,,,,
4,289,,,,,,0.5307009220123291,0.0,0.16885828971862793,0.02720031514763832
4,289,0.5020767450332642,0.0005219983868300915,,0.19485795497894287,0.015917304903268814,,,,
5,299,,,0.16873182356357574,,,,,,
5,309,,,0.16833153367042542,,,,,,
5,319,,,0.1665591448545456,,,,,,
5,329,,,0.15692825615406036,,,,,,
5,339,,,0.15321660041809082,,,,,,
5,347,,,,,,0.5357543230056763,0.0,0.14176826179027557,0.027577131986618042
5,347,0.5002017617225647,0.0006285752169787884,,0.1608516275882721,0.01652524620294571,,,,
6,349,,,0.14719614386558533,,,,,,
6,359,,,0.14303205907344818,,,,,,
6,369,,,0.1386784464120865,,,,,,
6,379,,,0.13276539742946625,,,,,,
6,389,,,0.13586221635341644,,,,,,
6,399,,,0.1275552660226822,,,,,,
6,405,,,,,,0.5336852073669434,0.0,0.12252363562583923,0.028637150302529335
6,405,0.4974021315574646,7.043541700113565e-05,,0.13738106191158295,0.01636905036866665,,,,
7,409,,,0.1328175663948059,,,,,,
7,419,,,0.12219851464033127,,,,,,
7,429,,,0.1270347684621811,,,,,,
7,439,,,0.11724556237459183,,,,,,
7,449,,,0.11655426025390625,,,,,,
7,459,,,0.1082124188542366,,,,,,
7,463,,,,,,0.5334563255310059,0.0,0.10849838703870773,0.028711523860692978
7,463,0.5084341764450073,8.789067942416295e-05,,0.11969958245754242,0.016205353662371635,,,,
8,469,,,0.11120413988828659,,,,,,
8,479,,,0.10600779205560684,,,,,,
8,489,,,0.11352153867483139,,,,,,
8,499,,,0.1069566160440445,,,,,,
8,509,,,0.1065930649638176,,,,,,
8,519,,,0.10629510134458542,,,,,,
8,521,,,,,,0.5331937670707703,0.0,0.0981237143278122,0.029821855947375298
8,521,0.49955591559410095,7.88904435466975e-05,,0.10726673901081085,0.01645435206592083,,,,
9,529,,,0.09698998183012009,,,,,,
9,539,,,0.10005559772253036,,,,,,
9,549,,,0.10194476693868637,,,,,,
9,559,,,0.09524127840995789,,,,,,
9,569,,,0.0964704155921936,,,,,,
9,579,,,0.09612057358026505,,,,,,
9,579,,,,,,0.5281270146369934,0.0,0.0902755856513977,0.030373655259609222
9,579,0.503757655620575,8.7342006736435e-05,,0.09780009835958481,0.01722024567425251,,,,
10,589,,,0.09511437267065048,,,,,,
10,599,,,0.09210623055696487,,,,,,
10,609,,,0.09288091957569122,,,,,,
10,619,,,0.09064485132694244,,,,,,
10,629,,,0.09196563065052032,,,,,,
10,637,,,,,,0.5308136343955994,0.0,0.08421103656291962,0.03034871444106102
10,637,0.5082063674926758,0.0002606874913908541,,0.09057959914207458,0.01812930591404438,,,,
11,639,,,0.08995648473501205,,,,,,
11,649,,,0.086533322930336,,,,,,
11,659,,,0.08909641206264496,,,,,,
11,669,,,0.08441420644521713,,,,,,
11,679,,,0.08489980548620224,,,,,,
11,689,,,0.08357619494199753,,,,,,
11,695,,,,,,0.530451774597168,0.0,0.07943161576986313,0.03066411241889
11,695,0.510284423828125,0.00039432416087947786,,0.08480773121118546,0.019111428409814835,,,,
12,699,,,0.08456023782491684,,,,,,
12,709,,,0.08084961026906967,,,,,,
12,719,,,0.08271002769470215,,,,,,
12,729,,,0.08371226489543915,,,,,,
12,739,,,0.08216433972120285,,,,,,
12,749,,,0.07638508826494217,,,,,,
12,753,,,,,,0.5343356728553772,0.000397213501855731,0.0755680650472641,0.031670764088630676
12,753,0.5053122639656067,0.001163470558822155,,0.08026120811700821,0.019604871049523354,,,,
13,759,,,0.08176228404045105,,,,,,
13,769,,,0.0785684660077095,,,,,,
13,779,,,0.08084025979042053,,,,,,
13,789,,,0.08402074128389359,,,,,,
13,799,,,0.07213205844163895,,,,,,
13,809,,,0.07846390455961227,,,,,,
13,811,,,,,,0.5368458032608032,0.0016797668067738414,0.07243480533361435,0.0332428403198719
13,811,0.5232402682304382,0.002589549869298935,,0.07664578408002853,0.021370287984609604,,,,
14,819,,,0.07265739142894745,,,,,,
14,829,,,0.06996452063322067,,,,,,
14,839,,,0.06985944509506226,,,,,,
14,849,,,0.07220016419887543,,,,,,
14,859,,,0.08219288289546967,,,,,,
14,869,,,0.08019788563251495,,,,,,
14,869,,,,,,0.5394500494003296,0.003760287305340171,0.06981804221868515,0.035491518676280975
14,869,0.5136770009994507,0.0041004931554198265,,0.0734700858592987,0.022089755162596703,,,,
15,879,,,0.0687708705663681,,,,,,
15,889,,,0.06729502230882645,,,,,,
15,899,,,0.0708036720752716,,,,,,
15,909,,,0.07285722345113754,,,,,,
15,919,,,0.0721040740609169,,,,,,
15,927,,,,,,0.5392324328422546,0.007274583447724581,0.06779839843511581,0.03952178359031677
15,927,0.5210944414138794,0.004932999610900879,,0.07094182074069977,0.023787550628185272,,,,
16,929,,,0.06824024766683578,,,,,,
16,939,,,0.06997867673635483,,,,,,
16,949,,,0.06488209217786789,,,,,,
16,959,,,0.0713525339961052,,,,,,
16,969,,,0.07079724222421646,,,,,,
16,979,,,0.06879368424415588,,,,,,
16,985,,,,,,0.5615567564964294,0.005834965500980616,0.0657322108745575,0.04354490339756012
16,985,0.5280534625053406,0.005924326833337545,,0.06871892511844635,0.02848922275006771,,,,
17,989,,,0.06684611737728119,,,,,,
17,999,,,0.06433899700641632,,,,,,
17,1009,,,0.06263363361358643,,,,,,
17,1019,,,0.06742149591445923,,,,,,
17,1029,,,0.06809771060943604,,,,,,
17,1039,,,0.0649118572473526,,,,,,
17,1043,,,,,,0.5641641616821289,0.00741894356906414,0.06414402276277542,0.046705737709999084
17,1043,0.5470870137214661,0.006425023078918457,,0.0667421743273735,0.02968846820294857,,,,
18,1049,,,0.06355370581150055,,,,,,
18,1059,,,0.06210310012102127,,,,,,
18,1069,,,0.0593235157430172,,,,,,
18,1079,,,0.06308044493198395,,,,,,
18,1089,,,0.06570705026388168,,,,,,
18,1099,,,0.061729468405246735,,,,,,
18,1101,,,,,,0.5818483829498291,0.006738968193531036,0.06273768097162247,0.04980069026350975
18,1101,0.5444781184196472,0.007159410044550896,,0.06500965356826782,0.03164776414632797,,,,
19,1109,,,0.06614433228969574,,,,,,
19,1119,,,0.06780555844306946,,,,,,
19,1129,,,0.06163448840379715,,,,,,
19,1139,,,0.06139414757490158,,,,,,
19,1149,,,0.06495467573404312,,,,,,
19,1159,,,0.0669216588139534,,,,,,
19,1159,,,,,,0.5909349322319031,0.0068823532201349735,0.061593130230903625,0.053348004817962646
19,1159,0.5606719255447388,0.00738880131393671,,0.06352131068706512,0.03536330163478851,,,,
20,1169,,,0.05650743469595909,,,,,,
20,1179,,,0.05914207547903061,,,,,,
20,1189,,,0.06225401908159256,,,,,,
20,1199,,,0.05957535281777382,,,,,,
