epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_map_eval,val_auc,val_f1,val_loss,val_map
0,9,,,0.7638007402420044,,,,,,
0,19,,,0.6573123335838318,,,,,,
0,29,,,0.5866327285766602,,,,,,
0,36,0.5037888884544373,0.023392628878355026,,0.615123987197876,0.016692999750375748,,,,
1,39,,,0.5194524526596069,,,,,,
1,49,,,0.4862715005874634,,,,,,
1,59,,,0.4581354856491089,,,,,,
1,69,,,0.43211010098457336,,,,,,
1,73,0.5070235729217529,0.014217179268598557,,0.4655650556087494,0.016772745177149773,,,,
2,79,,,0.4179530441761017,,,,,,
2,89,,,0.3971768319606781,,,,,,
2,99,,,0.3743605613708496,,,,,,
2,109,,,0.35986950993537903,,,,,,
2,110,0.49384498596191406,0.011425853706896305,,0.38072746992111206,0.016639504581689835,,,,
3,119,,,0.345264196395874,,,,,,
3,129,,,0.33117014169692993,,,,,,
3,139,,,0.3151310086250305,,,,,,
3,147,0.5025744438171387,0.007013327907770872,,0.31825268268585205,0.016674479469656944,,,,
4,149,,,0.29189732670783997,,,,,,
4,159,,,0.2776148319244385,,,,,,
4,169,,,0.2664092779159546,,,,,,
4,179,,,0.25852540135383606,,,,,,
4,184,0.5089060664176941,0.004026347305625677,,0.26867252588272095,0.016469493508338928,,,,
5,189,,,0.24734295904636383,,,,,,
5,199,,,0.23846429586410522,,,,,,
5,209,,,0.22644025087356567,,,,,,
5,219,,,0.21713584661483765,,,,,,
5,221,0.4946872591972351,0.0030371486209332943,,0.23032499849796295,0.016956934705376625,,,,
6,229,,,0.21254681050777435,,,,,,
6,239,,,0.20437858998775482,,,,,,
6,249,,,0.19880032539367676,,,,,,
6,258,0.5006386637687683,0.001904560485854745,,0.20007507503032684,0.01662069745361805,,,,
7,259,,,0.18976381421089172,,,,,,
7,269,,,0.1806860715150833,,,,,,
7,279,,,0.1736525148153305,,,,,,
7,289,,,0.16830262541770935,,,,,,
7,295,0.5034526586532593,0.0013712220825254917,,0.17611227929592133,0.016102492809295654,,,,
8,299,,,0.16395056247711182,,,,,,
8,309,,,0.1565430909395218,,,,,,
8,319,,,0.15457512438297272,,,,,,
8,329,,,0.15468847751617432,,,,,,
8,332,0.5070573091506958,0.001435940619558096,,0.15677547454833984,0.017560577020049095,,,,
9,339,,,0.14544673264026642,,,,,,
9,349,,,0.1435084044933319,,,,,,
9,359,,,0.138494074344635,,,,,,
9,369,,,0.1355208307504654,,,,,,
9,369,,,,,,0.5129209160804749,0.0,0.12917116284370422,0.025672979652881622
9,369,0.5063109993934631,0.0006056617712602019,,0.14123280346393585,0.016572726890444756,,,,
10,379,,,0.1351509988307953,,,,,,
10,389,,,0.13065886497497559,,,,,,
10,399,,,0.12905776500701904,,,,,,
10,406,0.500077486038208,0.00037608423735946417,,0.1289917230606079,0.017378216609358788,,,,
11,409,,,0.12410259246826172,,,,,,
11,419,,,0.12124889343976974,,,,,,
11,429,,,0.12029682099819183,,,,,,
11,439,,,0.12118010222911835,,,,,,
11,443,0.5033568143844604,0.000260105385677889,,0.11887332797050476,0.01667540892958641,,,,
12,449,,,0.11519516259431839,,,,,,
12,459,,,0.1132916510105133,,,,,,
12,469,,,0.10826971381902695,,,,,,
12,479,,,0.10629155486822128,,,,,,
12,480,0.5042259097099304,0.00023912047618068755,,0.1105179637670517,0.016318893060088158,,,,
13,489,,,0.10830826312303543,,,,,,
13,499,,,0.10355678200721741,,,,,,
13,509,,,0.10356455296278,,,,,,
13,517,0.5043797492980957,0.00020531225891318172,,0.10356438905000687,0.016872646287083626,,,,
14,519,,,0.0996059998869896,,,,,,
14,529,,,0.10031461715698242,,,,,,
14,539,,,0.09762360155582428,,,,,,
14,549,,,0.09506143629550934,,,,,,
14,554,0.507938802242279,0.00019097769109066576,,0.09750591218471527,0.017690669745206833,,,,
15,559,,,0.09299337863922119,,,,,,
15,569,,,0.09659939259290695,,,,,,
15,579,,,0.08901508152484894,,,,,,
15,589,,,0.09346006065607071,,,,,,
15,591,0.49529772996902466,0.00020819441124331206,,0.09287779778242111,0.01747855730354786,,,,
16,599,,,0.09010778367519379,,,,,,
16,609,,,0.08711065351963043,,,,,,
16,619,,,0.08888673037290573,,,,,,
16,628,0.5078422427177429,0.0003427045594435185,,0.08864577859640121,0.01761084422469139,,,,
17,629,,,0.08598313480615616,,,,,,
17,639,,,0.08774704486131668,,,,,,
17,649,,,0.08577118813991547,,,,,,
17,659,,,0.08486616611480713,,,,,,
17,665,0.5006036758422852,0.00042217428563162684,,0.08523717522621155,0.017933344468474388,,,,
18,669,,,0.08437113463878632,,,,,,
18,679,,,0.08215051144361496,,,,,,
18,689,,,0.08011095970869064,,,,,,
18,699,,,0.08018027991056442,,,,,,
18,702,0.5086647272109985,0.0004778265138156712,,0.08196121454238892,0.01931861601769924,,,,
19,709,,,0.0824979767203331,,,,,,
19,719,,,0.07903486490249634,,,,,,
19,729,,,0.07458622008562088,,,,,,
19,739,,,0.07787221670150757,,,,,,
19,739,,,,,,0.5162277817726135,0.00019886343216057867,0.07564226537942886,0.027408743277192116
19,739,0.5016701817512512,0.0007560020894743502,,0.07939045131206512,0.01937657780945301,,,,
20,749,,,0.07875220477581024,,,,,,
20,759,,,0.07630101591348648,,,,,,
20,769,,,0.07625375688076019,,,,,,
20,776,0.4946593940258026,0.0011816382175311446,,0.07719618082046509,0.02084815688431263,,,,
21,779,,,0.07665731012821198,,,,,,
21,789,,,0.07431507110595703,,,,,,
21,799,,,0.07523570209741592,,,,,,
21,809,,,0.07466383278369904,,,,,,
21,813,0.5134233832359314,0.0018052184022963047,,0.07515093684196472,0.021172678098082542,,,,
22,819,,,0.0737266018986702,,,,,,
22,829,,,0.07542609423398972,,,,,,
22,839,,,0.07212572544813156,,,,,,
22,849,,,0.07429036498069763,,,,,,
22,850,0.5144824385643005,0.0028940560296177864,,0.07328788936138153,0.02232768014073372,,,,
23,859,,,0.06940160691738129,,,,,,
23,869,,,0.07062087208032608,,,,,,
23,879,,,0.07190610468387604,,,,,,
23,887,0.5116022229194641,0.0037419558502733707,,0.07163935899734497,0.022509291768074036,,,,
24,889,,,0.07117921859025955,,,,,,
24,899,,,0.06696506589651108,,,,,,
24,909,,,0.07165677100419998,,,,,,
24,919,,,0.07075420022010803,,,,,,
24,924,0.5148031115531921,0.004465698730200529,,0.0702604353427887,0.023153161630034447,,,,
25,929,,,0.06994670629501343,,,,,,
25,939,,,0.06893976777791977,,,,,,
25,949,,,0.07181363552808762,,,,,,
25,959,,,0.06902939826250076,,,,,,
25,961,0.5003424882888794,0.004915315192192793,,0.06887643039226532,0.023149199783802032,,,,
26,969,,,0.06954610347747803,,,,,,
26,979,,,0.07103169709444046,,,,,,
26,989,,,0.07059642672538757,,,,,,
26,998,0.5152917504310608,0.0058015696704387665,,0.06779628992080688,0.024184517562389374,,,,
27,999,,,0.06816232204437256,,,,,,
27,1009,,,0.06917311996221542,,,,,,
27,1019,,,0.06887063384056091,,,,,,
27,1029,,,0.06414470821619034,,,,,,
27,1035,0.5095176100730896,0.006150812841951847,,0.0666055679321289,0.024462584406137466,,,,
28,1039,,,0.06544683873653412,,,,,,
28,1049,,,0.06797022372484207,,,,,,
28,1059,,,0.06828231364488602,,,,,,
28,1069,,,0.06414564698934555,,,,,,
28,1072,0.5099706649780273,0.006524507887661457,,0.06569790840148926,0.024718426167964935,,,,
29,1079,,,0.06737732142210007,,,,,,
29,1089,,,0.061538491398096085,,,,,,
29,1099,,,0.06469867378473282,,,,,,
29,1109,,,0.06641010195016861,,,,,,
29,1109,,,,,,0.523821234703064,0.00701535027474165,0.0628746822476387,0.032255299389362335
29,1109,0.5106603503227234,0.007130899932235479,,0.0648714229464531,0.025664737448096275,,,,
30,1119,,,0.06663306802511215,,,,,,
30,1129,,,0.06480063498020172,,,,,,
30,1139,,,0.06345755606889725,,,,,,
30,1146,0.5196458101272583,0.007301253732293844,,0.06403996795415878,0.025300893932580948,,,,
31,1149,,,0.060311052948236465,,,,,,
31,1159,,,0.0642022117972374,,,,,,
31,1169,,,0.06303764879703522,,,,,,
31,1179,,,0.06353313475847244,,,,,,
31,1183,0.5231360197067261,0.007539897225797176,,0.06334739178419113,0.025992542505264282,,,,
32,1189,,,0.06567064672708511,,,,,,
32,1199,,,0.06160351261496544,,,,,,
