epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,val_auc,val_f1,val_loss,val_map
0,0,0.6551507711410522,0.008778519928455353,,,0.06831783224438455,0.02626103162765503,,,,
0,99,,,0.07135895639657974,,,,,,,
0,199,,,0.05584975332021713,,,,,,,
0,282,,,,0.05900102108716965,,,,,,
1,299,,,0.05217425897717476,,,,,,,
1,399,,,0.054502420127391815,,,,,,,
1,499,,,0.057787664234638214,,,,,,,
1,565,,,,0.05633295327425003,,,,,,
2,599,,,0.05757266655564308,,,,,,,
2,699,,,0.0606558583676815,,,,,,,
2,799,,,0.055564701557159424,,,,,,,
2,848,,,,0.05589015409350395,,,,,,
3,899,,,0.05618654564023018,,,,,,,
3,999,,,0.054128069430589676,,,,,,,
3,1099,,,0.055644791573286057,,,,,,,
3,1131,,,,0.05496548116207123,,,,,,
4,1199,,,0.05905286222696304,,,,,,,
4,1299,,,0.05299023911356926,,,,,,,
4,1399,,,0.054303526878356934,,,,,,,
4,1414,,,,0.054178040474653244,,,,,,
5,1499,,,0.05039070174098015,,,,,,,
5,1599,,,0.05127006769180298,,,,,,,
5,1697,,,,0.05270850285887718,,,,,,
6,1699,,,0.05134960263967514,,,,,,,
6,1799,,,0.05541199818253517,,,,,,,
6,1899,,,0.051527250558137894,,,,,,,
6,1980,,,,0.05123171955347061,,,,,,
7,1999,,,0.05041748657822609,,,,,,,
7,2099,,,0.05518028885126114,,,,,,,
7,2199,,,0.05423571541905403,,,,,,,
7,2263,,,,0.05139318108558655,,,,,,
8,2299,,,0.0496191531419754,,,,,,,
8,2399,,,0.056679289788007736,,,,,,,
8,2499,,,0.05158233642578125,,,,,,,
8,2546,,,,0.051000501960515976,,,,,,
9,2599,,,0.04622980207204819,,,,,,,
9,2699,,,0.047073740512132645,,,,,,,
9,2799,,,0.046321794390678406,,,,,,,
9,2829,,,,0.04995042830705643,,,,,,
10,2899,,,0.05084563419222832,,,,,,,
10,2999,,,0.049209173768758774,,,,,,,
10,3099,,,0.05099685490131378,,,,,,,
10,3112,,,,0.05027234926819801,,,,,,
11,3199,,,0.04774463176727295,,,,,,,
11,3299,,,0.05134652554988861,,,,,,,
11,3395,,,,0.04891376197338104,,,,,,
12,3399,,,0.050035446882247925,,,,,,,
12,3499,,,0.044646963477134705,,,,,,,
12,3599,,,0.049393828958272934,,,,,,,
12,3678,,,,0.0484595000743866,,,,,,
13,3699,,,0.04525694251060486,,,,,,,
13,3799,,,0.04779178276658058,,,,,,,
13,3899,,,0.04966796934604645,,,,,,,
13,3961,,,,0.04805689677596092,,,,,,
14,3999,,,0.04445761442184448,,,,,,,
14,4099,,,0.0446447879076004,,,,,,,
14,4199,,,0.04611547291278839,,,,,,,
14,4244,,,,0.04765072092413902,,,,,,
15,4299,,,0.046656012535095215,,,,,,,
15,4399,,,0.04763462394475937,,,,,,,
15,4499,,,0.05117740482091904,,,,,,,
15,4527,,,,0.04735352843999863,,,,,,
16,4599,,,0.04946364462375641,,,,,,,
16,4699,,,0.049216341227293015,,,,,,,
16,4799,,,0.044137999415397644,,,,,,,
16,4810,,,,0.046946316957473755,,,,,,
17,4899,,,0.04384560510516167,,,,,,,
17,4999,,,0.04512276500463486,,,,,,,
17,5093,,,,0.04665611311793327,,,,,,
18,5099,,,0.04540050029754639,,,,,,,
18,5199,,,0.045782193541526794,,,,,,,
18,5299,,,0.04973865672945976,,,,,,,
18,5376,,,,0.046461693942546844,,,,,,
19,5399,,,0.039861515164375305,,,,,,,
19,5499,,,0.04734800383448601,,,,,,,
19,5599,,,0.04677966982126236,,,,,,,
19,5659,,,,0.04640482738614082,,,,,,
20,5699,,,0.045386459678411484,,,,,,,
20,5799,,,0.044124774634838104,,,,,,,
20,5899,,,0.04656827822327614,,,,,,,
20,5942,,,,0.046186890453100204,,,,,,
21,5999,,,0.04611572250723839,,,,,,,
21,6099,,,0.04657076299190521,,,,,,,
21,6199,,,0.048985905945301056,,,,,,,
21,6225,,,,0.04601338878273964,,,,,,
22,6299,,,0.04826764762401581,,,,,,,
22,6399,,,0.04865582659840584,,,,,,,
22,6499,,,0.043662767857313156,,,,,,,
22,6508,,,,0.04594076797366142,,,,,,
23,6599,,,0.04356131702661514,,,,,,,
23,6699,,,0.044165998697280884,,,,,,,
23,6791,,,,0.045874159783124924,,,,,,
24,6799,,,0.050521574914455414,,,,,,,
24,6899,,,0.045720040798187256,,,,,,,
24,6999,,,0.04221638664603233,,,,,,,
24,7074,,,,0.045770738273859024,,,,,,
25,7099,,,0.04549263417720795,,,,,,,
25,7199,,,0.04229625314474106,,,,,,,
25,7299,,,0.048381052911281586,,,,,,,
25,7357,,,,0.04578797519207001,,,,,,
26,7399,,,0.045588865876197815,,,,,,,
26,7499,,,0.04323093220591545,,,,,,,
26,7599,,,0.04510568827390671,,,,,,,
26,7640,,,,0.045729562640190125,,,,,,
