weight_norm/fc.3.bias,weight_norm/gru.bias_hh_l1,weight_norm/gru.bias_hh_l0,step,weight_norm/gru.bias_ih_l0,weight_norm/gru.weight_hh_l0,epoch,train_loss,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/gru.weight_ih_l1,weight_norm/fc.3.weight,weight_norm/gru.weight_hh_l1,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_ih_l0,train_loss_epoch,val_loss
0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,0,,,0,,,,,,,,,,
,,,9,,,0,0.0,,,,,,,,,
,,,19,,,0,0.0,,,,,,,,,
,,,28,,,0,,,,,,,,,0.0,
,,,29,,,1,0.0,,,,,,,,,
,,,39,,,1,0.0,,,,,,,,,
,,,49,,,1,0.0,,,,,,,,,
,,,57,,,1,,,,,,,,,0.0,
,,,59,,,2,0.0,,,,,,,,,
,,,69,,,2,0.0,,,,,,,,,
,,,79,,,2,0.0,,,,,,,,,
,,,86,,,2,,,,,,,,,0.0,
,,,89,,,3,0.0,,,,,,,,,
,,,99,,,3,0.0,,,,,,,,,
,,,109,,,3,0.0,,,,,,,,,
,,,115,,,3,,,,,,,,,0.0,
,,,119,,,4,0.0,,,,,,,,,
,,,129,,,4,0.0,,,,,,,,,
,,,139,,,4,0.0,,,,,,,,,
,,,144,,,4,,,,,,,,,0.0,
,,,149,,,5,0.0,,,,,,,,,
,,,159,,,5,0.0,,,,,,,,,
,,,169,,,5,0.0,,,,,,,,,
,,,173,,,5,,,,,,,,,0.0,
,,,179,,,6,0.0,,,,,,,,,
,,,189,,,6,0.0,,,,,,,,,
,,,199,,,6,0.0,,,,,,,,,
,,,202,,,6,,,,,,,,,0.0,
,,,209,,,7,0.0,,,,,,,,,
,,,219,,,7,0.0,,,,,,,,,
,,,229,,,7,0.0,,,,,,,,,
,,,231,,,7,,,,,,,,,0.0,
,,,239,,,8,0.0,,,,,,,,,
,,,249,,,8,0.0,,,,,,,,,
,,,259,,,8,0.0,,,,,,,,,
,,,260,,,8,,,,,,,,,0.0,
,,,269,,,9,0.0,,,,,,,,,
,,,279,,,9,0.0,,,,,,,,,
,,,289,,,9,0.0,,,,,,,,,
0.0,0.0,0.0,9,0.0,0.0,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,9,,,9,,,,,,,,,,
,,,289,,,9,,,,,,,,,,0.0
,,,289,,,9,,,,,,,,,0.0,
