weight_norm/fc.3.bias,epoch,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_hh_l1,weight_norm/fc.0.bias,weight_norm/gru.weight_ih_l0,weight_norm/gru.bias_ih_l1,weight_norm/fc.3.weight,step,weight_norm/gru.weight_ih_l1,weight_norm/gru.weight_hh_l0,train_loss,weight_norm/gru.weight_hh_l1,train_loss_eval,weight_norm/fc.0.weight,weight_norm/gru.bias_ih_l0,train_loss_epoch,val_loss
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,,
,0,,,,,,,0,,,,,,,,,
,0,,,,,,,0,,,,,0.0,,,,
,0,,,,,,,9,,,4.0637655465419695e-44,,,,,,
,0,,,,,,,19,,,4.0637655465419695e-44,,,,,,
,0,,,,,,,28,,,,,,,,0.0,
,1,,,,,,,29,,,0.0,,,,,,
,1,,,,,,,39,,,4.0637655465419695e-44,,,,,,
,1,,,,,,,49,,,4.0637655465419695e-44,,,,,,
,1,,,,,,,57,,,,,,,,0.0,
,2,,,,,,,59,,,0.0,,,,,,
,2,,,,,,,69,,,0.0,,,,,,
,2,,,,,,,79,,,0.0,,,,,,
,2,,,,,,,86,,,,,,,,0.0,
,3,,,,,,,89,,,0.0,,,,,,
,3,,,,,,,99,,,0.0,,,,,,
,3,,,,,,,109,,,0.0,,,,,,
,3,,,,,,,115,,,,,,,,0.0,
,4,,,,,,,119,,,0.0,,,,,,
,4,,,,,,,129,,,0.0,,,,,,
,4,,,,,,,139,,,0.0,,,,,,
,4,,,,,,,144,,,,,,,,0.0,
,5,,,,,,,149,,,0.0,,,,,,
,5,,,,,,,159,,,0.0,,,,,,
,5,,,,,,,169,,,0.0,,,,,,
,5,,,,,,,173,,,,,,,,0.0,
,6,,,,,,,179,,,0.0,,,,,,
,6,,,,,,,189,,,0.0,,,,,,
,6,,,,,,,199,,,0.0,,,,,,
,6,,,,,,,202,,,,,,,,0.0,
,7,,,,,,,209,,,0.0,,,,,,
,7,,,,,,,219,,,0.0,,,,,,
,7,,,,,,,229,,,0.0,,,,,,
,7,,,,,,,231,,,,,,,,0.0,
,8,,,,,,,239,,,0.0,,,,,,
,8,,,,,,,249,,,0.0,,,,,,
,8,,,,,,,259,,,0.0,,,,,,
,8,,,,,,,260,,,,,,,,0.0,
,9,,,,,,,269,,,0.0,,,,,,
,9,,,,,,,279,,,0.0,,,,,,
,9,,,,,,,289,,,0.0,,,,,,
0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,,0.0,,0.0,0.0,,
,9,,,,,,,9,,,,,,,,,
,9,,,,,,,9,,,,,0.0,,,,
,9,,,,,,,289,,,,,,,,,0.0
,9,,,,,,,289,,,,,,,,0.0,
