epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_hh_l1,weight_norm/gru.bias_ih_l0,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_hh_l1,weight_norm/gru.weight_ih_l0,weight_norm/gru.weight_ih_l1
0,0,,,,,,,0.0,13.047638893127441,0.0,12.527140617370605,0.0,0.0,0.0,0.0,19.608949661254883,19.584421157836914,27.706918716430664,19.565082550048828
0,0,,,,,,,,,,,,,,,,,,
0,0,0.49062299728393555,0.020143091678619385,,,0.6873057409856946,0.014799647033214569,,,,,,,,,,,,
0,9,,,0.6875360012054443,,,,,,,,,,,,,,,
0,19,,,0.2638883590698242,,,,,,,,,,,,,,,
0,28,,,,0.24522972106933594,,,,,,,,,,,,,,
1,29,,,0.06857528537511826,,,,,,,,,,,,,,,
1,39,,,0.06641311198472977,,,,,,,,,,,,,,,
1,49,,,0.06352010369300842,,,,,,,,,,,,,,,
1,57,,,,0.06529033929109573,,,,,,,,,,,,,,
2,59,,,0.06184845417737961,,,,,,,,,,,,,,,
2,69,,,0.061514079570770264,,,,,,,,,,,,,,,
2,79,,,0.06144043803215027,,,,,,,,,,,,,,,
2,86,,,,0.061704449355602264,,,,,,,,,,,,,,
3,89,,,0.06020190194249153,,,,,,,,,,,,,,,
3,99,,,0.061257150024175644,,,,,,,,,,,,,,,
3,109,,,0.06069297716021538,,,,,,,,,,,,,,,
3,115,,,,0.060697685927152634,,,,,,,,,,,,,,
4,119,,,0.060348305851221085,,,,,,,,,,,,,,,
4,129,,,0.06037794426083565,,,,,,,,,,,,,,,
4,139,,,0.06041731312870979,,,,,,,,,,,,,,,
4,144,,,,0.060167890042066574,,,,,,,,,,,,,,
5,149,,,0.05967887118458748,,,,,,,,,,,,,,,
5,159,,,0.058208808302879333,,,,,,,,,,,,,,,
5,169,,,0.060538776218891144,,,,,,,,,,,,,,,
5,173,,,,0.059731509536504745,,,,,,,,,,,,,,
6,179,,,0.05979800596833229,,,,,,,,,,,,,,,
6,189,,,0.059091825038194656,,,,,,,,,,,,,,,
6,199,,,0.05942428484559059,,,,,,,,,,,,,,,
6,202,,,,0.05904358625411987,,,,,,,,,,,,,,
7,209,,,0.05830088257789612,,,,,,,,,,,,,,,
7,219,,,0.05935274437069893,,,,,,,,,,,,,,,
7,229,,,0.05911665037274361,,,,,,,,,,,,,,,
7,231,,,,0.05853194743394852,,,,,,,,,,,,,,
8,239,,,0.05825171247124672,,,,,,,,,,,,,,,
8,249,,,0.058081116527318954,,,,,,,,,,,,,,,
8,259,,,0.058023229241371155,,,,,,,,,,,,,,,
8,260,,,,0.05808982625603676,,,,,,,,,,,,,,
