train_loss_eval,weight_norm/gru.weight_hh_l1,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_ih_l1,weight_norm/fc.0.weight,weight_norm/gru.bias_hh_l1,weight_norm/gru.weight_ih_l0,epoch,weight_norm/fc.3.weight,weight_norm/fc.3.bias,weight_norm/gru.weight_hh_l0,weight_norm/gru.bias_ih_l0,weight_norm/fc.0.bias,train_loss,step,weight_norm/gru.bias_hh_l0,train_loss_epoch,val_loss
,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,
,,,,,,,0,,,,,,,0,,,
0.0,,,,,,,0,,,,,,,0,,,
,,,,,,,0,,,,,,4.0637655465419695e-44,9,,,
,,,,,,,0,,,,,,0.0,19,,,
,,,,,,,0,,,,,,,28,,0.0,
,,,,,,,1,,,,,,0.0,29,,,
,,,,,,,1,,,,,,0.0,39,,,
,,,,,,,1,,,,,,0.0,49,,,
,,,,,,,1,,,,,,,57,,0.0,
,,,,,,,2,,,,,,0.0,59,,,
,,,,,,,2,,,,,,0.0,69,,,
,,,,,,,2,,,,,,0.0,79,,,
,,,,,,,2,,,,,,,86,,0.0,
,,,,,,,3,,,,,,0.0,89,,,
,,,,,,,3,,,,,,0.0,99,,,
,,,,,,,3,,,,,,0.0,109,,,
,,,,,,,3,,,,,,,115,,0.0,
,,,,,,,4,,,,,,0.0,119,,,
,,,,,,,4,,,,,,0.0,129,,,
,,,,,,,4,,,,,,0.0,139,,,
,,,,,,,4,,,,,,,144,,0.0,
,,,,,,,5,,,,,,0.0,149,,,
,,,,,,,5,,,,,,0.0,159,,,
,,,,,,,5,,,,,,0.0,169,,,
,,,,,,,5,,,,,,,173,,0.0,
,,,,,,,6,,,,,,0.0,179,,,
,,,,,,,6,,,,,,0.0,189,,,
,,,,,,,6,,,,,,0.0,199,,,
,,,,,,,6,,,,,,,202,,0.0,
,,,,,,,7,,,,,,0.0,209,,,
,,,,,,,7,,,,,,0.0,219,,,
,,,,,,,7,,,,,,0.0,229,,,
,,,,,,,7,,,,,,,231,,0.0,
,,,,,,,8,,,,,,0.0,239,,,
,,,,,,,8,,,,,,0.0,249,,,
,,,,,,,8,,,,,,0.0,259,,,
,,,,,,,8,,,,,,,260,,0.0,
,,,,,,,9,,,,,,0.0,269,,,
,,,,,,,9,,,,,,0.0,279,,,
,,,,,,,9,,,,,,0.0,289,,,
,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,,9,0.0,,
,,,,,,,9,,,,,,,9,,,
0.0,,,,,,,9,,,,,,,9,,,
,,,,,,,9,,,,,,,289,,,0.0
,,,,,,,9,,,,,,,289,,0.0,
